day,time,operation
1,17:08,команда создана в графане
1,17:08,команда создана
1,17:08,подписка для команды создана
1,17:08,зарегистрировался
1,18:33,команда создана в графане
1,18:33,команда создана
1,18:33,подписка для команды создана
1,18:33,зарегистрировался
1,21:02,команда создана в графане
1,21:02,команда создана
1,21:02,подписка для команды создана
1,21:02,зарегистрировался
1,21:16,запустил test
1,21:19,стартовал grafana
1,21:20,перешел в status FINISHED
1,21:27,запустил test
1,21:29,стартовал grafana
1,21:34,перешел в status TEST_STOPPING
1,21:34,перешел в status CANCELED
2,08:49,команда создана в графане
2,08:49,команда создана
2,08:49,зарегистрировался
2,08:49,подписка для команды создана
2,16:36,запустил test
2,16:36,перешел в status TEST_STOPPING
2,16:36,перешел в status CANCELED
2,23:48,команда создана в графане
2,23:48,подписка для команды создана
2,23:48,команда создана
2,23:48,зарегистрировался
3,00:02,запустил test
3,00:05,стартовал grafana
3,00:17,перешел в status FINISHED
3,00:28,запустил test
3,00:30,стартовал grafana
3,00:42,перешел в status FINISHED
3,09:22,запустил test
3,09:24,стартовал grafana
3,09:37,перешел в status FINISHED
3,19:35,команда создана в графане
3,19:35,подписка для команды создана
3,19:35,команда создана
3,19:35,зарегистрировался
4,12:13,команда создана в графане
4,12:13,команда создана
4,12:13,подписка для команды создана
4,12:13,зарегистрировался
4,23:50,запустил test
4,23:52,стартовал grafana
4,23:54,перешел в status FINISHED
5,14:14,обновил подписку
5,14:15,обновил подписку
6,12:21,запустил test
6,12:22,стартовал grafana
6,12:30,перешел в status FAILED
6,12:43,запустил test
6,12:44,стартовал grafana
6,12:52,перешел в status FAILED
6,12:57,запустил test
6,12:58,стартовал grafana
6,12:58,перешел в status FINISHED
6,13:34,запустил test
6,13:34,стартовал grafana
6,13:42,перешел в status FAILED
6,13:58,запустил test
6,13:58,стартовал grafana
6,14:09,перешел в status FAILED
6,14:12,запустил test
6,14:14,стартовал grafana
6,14:47,перешел в status FINISHED
6,15:19,запустил test
6,15:21,стартовал grafana
6,15:38,перешел в status TEST_STOPPING
6,15:38,перешел в status CANCELED
6,15:39,запустил test
6,15:39,стартовал grafana
6,15:53,перешел в status TEST_STOPPING
6,15:53,перешел в status CANCELED
6,15:53,запустил test
6,15:53,запустил test
6,15:53,стартовал grafana
6,15:53,стартовал grafana
6,16:01,перешел в status TEST_STOPPING
6,16:01,перешел в status CANCELED
6,16:02,запустил test
6,16:02,стартовал grafana
6,16:05,команда создана в графане
6,16:05,подписка для команды создана
6,16:05,команда создана
6,16:05,зарегистрировался
6,16:31,перешел в status FINISHED
6,16:38,перешел в status FINISHED
7,06:52,запустил test
7,06:55,стартовал grafana
7,07:03,перешел в status TEST_STOPPING
7,07:03,перешел в status CANCELED
7,07:33,запустил test
7,07:38,стартовал grafana
7,07:39,перешел в status TEST_STOPPING
7,07:39,перешел в status CANCELED
7,07:40,запустил test
7,07:44,стартовал grafana
7,07:46,перешел в status TEST_STOPPING
7,07:46,перешел в status CANCELED
7,07:52,запустил test
7,07:54,стартовал grafana
7,08:11,перешел в status TEST_STOPPING
7,08:11,перешел в status CANCELED
7,08:11,запустил test
7,08:12,стартовал grafana
7,08:47,перешел в status FINISHED
7,09:18,запустил test
7,09:20,стартовал grafana
7,09:38,перешел в status TEST_STOPPING
7,09:38,перешел в status CANCELED
7,09:39,запустил test
7,09:42,стартовал grafana
7,09:46,перешел в status TEST_STOPPING
7,09:46,перешел в status CANCELED
7,09:46,запустил test
7,09:47,стартовал grafana
